order_ID,product,quantity_ordered,price,order_date,state,city,zip_code
150502,iPhone,1,700,02/18/19 01:35,PA,Philadelphia,19132
150503,AA Batteries (4-pack),1,3.84,02/13/19 07:24,CA,San Diego,91911
150504,27in 4K Gaming Monitor,1,389.99,02/18/19 09:46,CA,San Diego,91911
150505,Lightning Charging Cable,1,14.95,02/02/19 16:47,FL,Orlando,32822
150506,AA Batteries (4-pack),2,3.84,02/28/19 20:32,WA,Seattle,98115
150507,Lightning Charging Cable,1,14.95,02/24/19 18:50,OR,Portland,97209
150508,AA Batteries (4-pack),1,3.84,02/21/19 19:26,CA,Los Angeles,90008
150509,Apple Airpods Headphones,1,150,02/26/19 19:53,CA,Los Angeles,90014
150510,USB-C Charging Cable,1,11.95,02/17/19 21:48,NY,Buffalo,14211
150511,USB-C Charging Cable,1,11.95,02/22/19 07:36,PA,Philadelphia,19132
150512,Bose SoundSport Headphones,1,99.99,02/17/19 18:29,TX,Austin,78729
150513,Bose SoundSport Headphones,1,99.99,02/25/19 20:49,NY,Buffalo,14211
150514,27in FHD Monitor,1,149.99,02/03/19 00:21,MI,Detroit,48207
150515,Apple Airpods Headphones,1,150,02/18/19 14:53,TX,Austin,78729
150516,Lightning Charging Cable,1,14.95,02/20/19 12:29,OR,Portland,97201
150517,Wired Headphones,1,11.99,02/08/19 12:57,MI,Detroit,48215
150518,Macbook Pro Laptop,1,1700,02/26/19 12:38,GA,Atlanta,30303
150518,iPhone,1,700,02/26/19 12:38,GA,Atlanta,30303
150519,Wired Headphones,1,11.99,02/23/19 13:25,NY,New York City,10001
150520,AA Batteries (4-pack),2,3.84,02/27/19 14:39,FL,Orlando,32822
150521,Flatscreen TV,1,300,02/27/19 20:07,FL,Miami,33137
150522,20in Monitor,1,109.99,02/12/19 00:00,TX,Dallas,75215
150523,LG Dryer,1,600.0,02/27/19 20:24,OH,Columbus,43201
150524,Wired Headphones,1,11.99,02/28/19 13:47,IL,Chicago,60629
150525,20in Monitor,1,109.99,02/25/19 09:38,TX,Austin,78745
150526,AAA Batteries (4-pack),1,2.99,02/15/19 11:31,TX,Houston,77019
150527,USB-C Charging Cable,1,11.95,02/07/19 14:33,MI,Detroit,48215
150528,AAA Batteries (4-pack),2,2.99,02/26/19 23:17,NY,Buffalo,14211
150529,AA Batteries (4-pack),4,3.84,02/11/19 13:10,IL,Chicago,60629
150530,ThinkPad Laptop,1,999.99,02/05/19 14:19,CA,San Francisco,94016
150531,USB-C Charging Cable,1,11.95,02/28/19 18:16,IL,Chicago,60618
150532,USB-C Charging Cable,1,11.95,02/04/19 22:57,CA,San Francisco,94118
150533,AAA Batteries (4-pack),1,2.99,03/01/19 03:06,PA,Philadelphia,19116
150534,AAA Batteries (4-pack),2,2.99,02/12/19 22:02,OR,Portland,97223
150535,AAA Batteries (4-pack),1,2.99,02/21/19 11:46,TX,Austin,78745
150536,Wired Headphones,1,11.99,02/13/19 22:43,TX,Austin,78729
150537,Wired Headphones,1,11.99,02/23/19 13:31,TX,Dallas,75209
150538,Apple Airpods Headphones,1,150,02/22/19 17:28,CA,Los Angeles,90008
150539,AA Batteries (4-pack),2,3.84,02/18/19 16:46,OR,Portland,97201
150540,Apple Airpods Headphones,1,150,02/18/19 15:23,OH,Columbus,43224
150541,AAA Batteries (4-pack),1,2.99,03/01/19 01:03,TX,Austin,78701
150542,AA Batteries (4-pack),1,3.84,02/02/19 19:46,MI,Detroit,48127
150543,Wired Headphones,1,11.99,02/08/19 09:21,IL,Chicago,60629
150544,Lightning Charging Cable,1,14.95,02/10/19 17:19,MI,Detroit,48127
150545,Macbook Pro Laptop,1,1700,02/25/19 20:35,TX,Houston,77002
150546,AAA Batteries (4-pack),1,2.99,02/07/19 14:01,FL,Orlando,32822
150547,AAA Batteries (4-pack),1,2.99,02/06/19 17:51,FL,Orlando,32801
150548,Macbook Pro Laptop,1,1700,02/18/19 22:56,OR,Portland,97223
150549,iPhone,1,700,02/05/19 20:33,FL,Miami,33125
150550,ThinkPad Laptop,1,999.99,02/17/19 14:45,NY,New York City,10118
150551,27in 4K Gaming Monitor,1,389.99,02/02/19 08:25,FL,Orlando,32807
150552,Wired Headphones,1,11.99,02/21/19 19:06,NY,Buffalo,14211
150553,34in Ultrawide Monitor,1,379.99,02/20/19 21:42,OH,Columbus,43224
150554,AA Batteries (4-pack),1,3.84,02/12/19 06:49,CA,Los Angeles,90008
150555,27in FHD Monitor,1,149.99,02/18/19 11:27,WA,Seattle,98115
150556,Lightning Charging Cable,1,14.95,02/10/19 13:25,OR,Portland,97201
150557,AA Batteries (4-pack),2,3.84,02/22/19 21:41,OH,Columbus,43201
150558,Wired Headphones,1,11.99,02/04/19 16:09,OR,Portland,97209
150559,Apple Airpods Headphones,1,150,02/07/19 23:41,NY,New York City,10013
150560,Apple Airpods Headphones,1,150,02/05/19 14:29,CA,San Diego,92091
150561,Wired Headphones,1,11.99,02/22/19 17:55,PA,Philadelphia,19116
150562,27in 4K Gaming Monitor,1,389.99,02/16/19 20:07,OR,Portland,97223
150563,iPhone,1,700,02/20/19 02:09,CA,Los Angeles,90014
150564,USB-C Charging Cable,1,11.95,02/28/19 13:55,CA,San Francisco,94118
150565,Wired Headphones,1,11.99,02/24/19 19:08,FL,Orlando,32807
150566,27in FHD Monitor,1,149.99,02/21/19 18:30,TX,Dallas,75215
150567,Apple Airpods Headphones,1,150,02/26/19 16:12,WA,Seattle,98101
150568,Wired Headphones,1,11.99,02/15/19 22:49,FL,Orlando,32801
150569,AA Batteries (4-pack),3,3.84,02/04/19 13:11,MI,Detroit,48215
150570,Wired Headphones,1,11.99,02/18/19 18:12,WA,Seattle,98122
150571,Lightning Charging Cable,1,14.95,02/23/19 22:41,IL,Chicago,60607
150572,27in FHD Monitor,1,149.99,02/06/19 07:38,TX,Austin,78701
150573,Apple Airpods Headphones,1,150,02/25/19 11:32,FL,Orlando,32801
150574,Lightning Charging Cable,1,14.95,02/17/19 19:51,OR,Portland,97201
150575,AA Batteries (4-pack),1,3.84,02/10/19 11:44,TX,Houston,77055
150576,Bose SoundSport Headphones,1,99.99,02/02/19 01:33,FL,Miami,33137
150577,AA Batteries (4-pack),1,3.84,02/25/19 13:27,OR,Portland,97209
150578,USB-C Charging Cable,1,11.95,02/06/19 19:05,WA,Seattle,98115
150579,USB-C Charging Cable,1,11.95,02/27/19 20:11,WA,Seattle,98122
150580,AA Batteries (4-pack),1,3.84,02/11/19 22:06,IL,Chicago,60618
150581,AA Batteries (4-pack),1,3.84,02/21/19 19:51,IL,Chicago,60629
150582,iPhone,1,700,02/16/19 23:38,NY,Buffalo,14205
150582,Lightning Charging Cable,1,14.95,02/16/19 23:38,NY,New York City,10001
150583,27in FHD Monitor,1,149.99,02/01/19 20:56,TX,Dallas,75209
150584,AAA Batteries (4-pack),1,2.99,02/24/19 21:41,OH,Columbus,43212
150585,USB-C Charging Cable,1,11.95,02/16/19 14:04,NY,Buffalo,14205
150586,Apple Airpods Headphones,1,150,02/12/19 19:25,MI,Detroit,48127
150587,Lightning Charging Cable,1,14.95,02/11/19 17:43,CA,San Diego,92029
150588,AAA Batteries (4-pack),2,2.99,02/09/19 09:33,MI,Detroit,48215
150589,Flatscreen TV,1,300,02/24/19 12:02,PA,Philadelphia,19132
150590,Apple Airpods Headphones,1,150,02/08/19 09:35,CA,Los Angeles,90014
