order_ID,product,quantity_ordered,price,order_date,state,city,zip_code
141234,iPhone,1,700,01/22/19 21:25,FL,Orlando,32807
141235,Lightning Charging Cable,1,14.95,01/28/19 14:15,FL,Miami,33137
141236,Wired Headphones,2,11.99,01/17/19 13:33,GA,Atlanta,30318
141237,27in FHD Monitor,1,149.99,01/05/19 20:33,CA,Los Angeles,90014
141238,Wired Headphones,1,11.99,01/25/19 11:59,CA,San Francisco,94016
141239,AAA Batteries (4-pack),1,2.99,01/29/19 20:22,MI,Detroit,48127
141240,27in 4K Gaming Monitor,1,389.99,01/26/19 12:16,NY,New York City,10013
141241,USB-C Charging Cable,1,11.95,01/05/19 12:04,GA,Atlanta,30318
141242,Bose SoundSport Headphones,1,99.99,01/01/19 10:30,CA,San Francisco,94016
141243,Apple Airpods Headphones,1,150,01/22/19 21:20,WA,Seattle,98101
141244,Apple Airpods Headphones,1,150,01/07/19 11:29,MI,Detroit,48127
141245,Macbook Pro Laptop,1,1700,01/31/19 10:12,TX,Houston,77002
141246,AAA Batteries (4-pack),3,2.99,01/09/19 18:57,IL,Chicago,60629
141247,27in FHD Monitor,1,149.99,01/25/19 19:19,CA,Los Angeles,90008
141248,Flatscreen TV,1,300,01/03/19 21:54,OR,Portland,97223
141249,27in FHD Monitor,1,149.99,01/05/19 17:20,OH,Columbus,43212
141250,Vareebadd Phone,1,400,01/10/19 11:20,CA,San Francisco,94118
141251,Apple Airpods Headphones,1,150,01/24/19 08:13,IL,Chicago,60607
141252,USB-C Charging Cable,1,11.95,01/30/19 09:28,CA,San Francisco,94016
141253,AA Batteries (4-pack),1,3.84,01/17/19 00:09,OR,Portland,97223
141254,AAA Batteries (4-pack),1,2.99,01/08/19 11:51,MI,Detroit,48127
141255,USB-C Charging Cable,1,11.95,01/09/19 20:55,WA,Seattle,98122
141256,Google Phone,1,600,01/29/19 10:40,IL,Chicago,60618
141257,Apple Airpods Headphones,1,150,01/12/19 18:51,OH,Columbus,43201
141258,AA Batteries (4-pack),1,3.84,01/19/19 21:47,FL,Miami,33186
141259,AAA Batteries (4-pack),2,2.99,01/20/19 17:26,OR,Portland,97201
141260,AAA Batteries (4-pack),1,2.99,01/01/19 22:00,NY,Buffalo,14211
141261,USB-C Charging Cable,1,11.95,01/09/19 18:14,WA,Seattle,98115
141262,AAA Batteries (4-pack),1,2.99,01/16/19 12:35,OH,Columbus,43224
141263,Bose SoundSport Headphones,1,99.99,01/11/19 23:33,OH,Columbus,43201
141264,Apple Airpods Headphones,1,150,01/03/19 09:46,PA,Philadelphia,19132
141265,Apple Airpods Headphones,1,150,01/01/19 16:52,CA,Los Angeles,90001
141266,27in 4K Gaming Monitor,1,389.99,01/02/19 22:21,TX,Dallas,75215
141267,Apple Airpods Headphones,1,150,01/09/19 08:28,GA,Atlanta,30339
141268,AA Batteries (4-pack),1,3.84,01/14/19 10:13,CA,Los Angeles,90001
141269,27in 4K Gaming Monitor,1,389.99,01/03/19 20:05,GA,Atlanta,30339
141270,Wired Headphones,1,11.99,01/27/19 23:10,CA,Los Angeles,90001
141271,USB-C Charging Cable,1,11.95,01/30/19 10:51,MI,Detroit,48127
141272,AAA Batteries (4-pack),1,2.99,01/12/19 13:09,CA,San Francisco,94102
141273,Wired Headphones,2,11.99,01/29/19 12:04,OH,Columbus,43224
141274,USB-C Charging Cable,1,11.95,01/17/19 11:30,CA,Los Angeles,90014
141275,USB-C Charging Cable,1,11.95,01/07/19 16:06,MI,Detroit,48207
141275,Wired Headphones,1,11.99,01/07/19 16:06,GA,Atlanta,30318
141276,Lightning Charging Cable,1,14.95,01/21/19 22:23,MI,Detroit,48215
141277,Bose SoundSport Headphones,1,99.99,01/13/19 19:07,PA,Philadelphia,19132
141278,Lightning Charging Cable,1,14.95,01/26/19 12:14,TX,Austin,78701
141279,Lightning Charging Cable,1,14.95,01/03/19 19:10,TX,Houston,77002
141280,AAA Batteries (4-pack),1,2.99,01/20/19 16:10,CA,Los Angeles,90008
141281,Lightning Charging Cable,1,14.95,01/05/19 16:51,CA,Los Angeles,90014
141282,Vareebadd Phone,1,400,01/11/19 18:10,CA,San Francisco,94118
141283,Flatscreen TV,1,300,01/02/19 16:16,WA,Seattle,98122
141284,Wired Headphones,1,11.99,01/29/19 18:30,CA,San Diego,91911
141285,AAA Batteries (4-pack),3,2.99,01/14/19 14:13,WA,Seattle,98115
141286,27in 4K Gaming Monitor,1,389.99,01/02/19 20:33,TX,Austin,78745
141287,Bose SoundSport Headphones,1,99.99,01/31/19 08:38,MI,Detroit,48207
141288,Macbook Pro Laptop,1,1700,01/19/19 08:17,WA,Seattle,98122
141289,20in Monitor,1,109.99,01/28/19 11:17,TX,Houston,77002
141290,Apple Airpods Headphones,1,150,01/02/19 08:25,WA,Seattle,98115
141290,AA Batteries (4-pack),3,3.84,01/02/19 08:25,OH,Columbus,43201
141291,AA Batteries (4-pack),1,3.84,01/26/19 18:11,FL,Orlando,32822
141292,AAA Batteries (4-pack),1,2.99,01/21/19 08:46,CA,San Francisco,94016
141293,USB-C Charging Cable,1,11.95,01/18/19 12:21,IL,Chicago,60629
141294,Bose SoundSport Headphones,1,99.99,01/25/19 08:12,CA,San Diego,92029
141295,AA Batteries (4-pack),1,3.84,01/06/19 20:06,NY,Buffalo,14211
141296,USB-C Charging Cable,1,11.95,01/20/19 00:21,TX,Austin,78701
141297,Lightning Charging Cable,1,14.95,01/04/19 11:09,IL,Chicago,60618
141298,Lightning Charging Cable,1,14.95,01/21/19 13:24,CA,San Diego,92091
141299,AAA Batteries (4-pack),1,2.99,01/31/19 23:23,FL,Orlando,32822
141300,Apple Airpods Headphones,1,150,01/23/19 10:21,FL,Orlando,32807
141301,Apple Airpods Headphones,1,150,01/27/19 11:58,PA,Philadelphia,19132
141302,AAA Batteries (4-pack),2,2.99,01/18/19 20:12,MI,Detroit,48215
141303,AA Batteries (4-pack),1,3.84,01/19/19 09:23,IL,Chicago,60629
141304,USB-C Charging Cable,1,11.95,01/28/19 13:10,TX,Austin,78701
141305,AAA Batteries (4-pack),3,2.99,01/27/19 16:51,CA,Los Angeles,90001
141306,Wired Headphones,1,11.99,01/19/19 10:25,TX,Houston,77019
141307,AAA Batteries (4-pack),1,2.99,01/11/19 11:18,WA,Seattle,98122
141308,27in FHD Monitor,1,149.99,01/12/19 12:00,CA,Los Angeles,90014
141309,AAA Batteries (4-pack),2,2.99,01/20/19 07:02,OR,Portland,97201
141310,AAA Batteries (4-pack),1,2.99,01/07/19 13:32,WA,Seattle,98115
141311,34in Ultrawide Monitor,1,379.99,01/28/19 12:45,TX,Austin,78745
141312,Apple Airpods Headphones,1,150,01/08/19 23:20,TX,Dallas,75201
141313,Lightning Charging Cable,1,14.95,01/09/19 15:03,NY,Buffalo,14205
141314,Macbook Pro Laptop,1,1700,01/13/19 23:51,NY,New York City,10001
141315,USB-C Charging Cable,1,11.95,01/10/19 01:32,NY,New York City,10001
141316,AAA Batteries (4-pack),3,2.99,01/01/19 07:26,GA,Atlanta,30339
141317,27in FHD Monitor,1,149.99,01/21/19 11:18,GA,Atlanta,30339
141318,Bose SoundSport Headphones,1,99.99,01/09/19 15:21,FL,Miami,33125
141319,Bose SoundSport Headphones,1,99.99,01/01/19 10:43,FL,Orlando,32801
141320,AA Batteries (4-pack),1,3.84,01/24/19 13:37,PA,Philadelphia,19132
141321,Bose SoundSport Headphones,1,99.99,01/10/19 09:07,CA,San Diego,91911
141322,AAA Batteries (4-pack),2,2.99,01/12/19 21:56,FL,Orlando,32801
141323,USB-C Charging Cable,1,11.95,01/17/19 21:54,CA,Los Angeles,90008
141324,USB-C Charging Cable,1,11.95,01/04/19 23:36,WA,Seattle,98101
141325,Bose SoundSport Headphones,1,99.99,01/23/19 15:17,NY,New York City,10013
141326,Google Phone,1,600,01/05/19 13:49,TX,Dallas,75215
141327,USB-C Charging Cable,1,11.95,01/31/19 01:38,FL,Orlando,32822
141328,ThinkPad Laptop,1,999.99,01/06/19 23:18,IL,Chicago,60618
141329,USB-C Charging Cable,1,11.95,01/01/19 16:01,CA,San Francisco,94016
141330,Wired Headphones,1,11.99,01/21/19 13:04,NY,New York City,10001
141331,Flatscreen TV,1,300,01/09/19 18:32,TX,Houston,77019
141332,USB-C Charging Cable,1,11.95,01/19/19 18:52,GA,Atlanta,30339
141333,27in FHD Monitor,1,149.99,01/01/19 13:58,CA,San Diego,92029
141334,USB-C Charging Cable,1,11.95,01/15/19 02:05,NY,New York City,10118
141335,AAA Batteries (4-pack),5,2.99,01/12/19 18:16,NY,Buffalo,14205
141336,iPhone,1,700,01/09/19 18:23,IL,Chicago,60629
141337,Bose SoundSport Headphones,1,99.99,01/09/19 09:22,GA,Atlanta,30303
141338,AAA Batteries (4-pack),1,2.99,01/29/19 16:19,TX,Houston,77002
141339,AAA Batteries (4-pack),1,2.99,01/28/19 12:52,OH,Columbus,43201
141340,Lightning Charging Cable,1,14.95,01/27/19 14:30,CA,Los Angeles,90014
141341,LG Dryer,1,600.0,01/13/19 10:09,MI,Detroit,48207
141342,Wired Headphones,1,11.99,01/26/19 21:13,OH,Columbus,43201
141343,Bose SoundSport Headphones,1,99.99,01/24/19 13:36,OR,Portland,97223
141344,Apple Airpods Headphones,1,150,01/20/19 12:38,NY,Buffalo,14211
141345,USB-C Charging Cable,1,11.95,01/09/19 13:55,MI,Detroit,48207
141346,Apple Airpods Headphones,1,150,01/14/19 13:59,IL,Chicago,60629
