order_ID,product,quantity_ordered,price,order_date,state,city,zip_code
162009,iPhone,1,700,03/28/19 20:59,CA,Los Angeles,90008
162009,Lightning Charging Cable,1,14.95,03/28/19 20:59,TX,Austin,78729
162009,Wired Headphones,2,11.99,03/28/19 20:59,OR,Portland,97209
162010,Bose SoundSport Headphones,1,99.99,03/17/19 05:39,FL,Miami,33125
162011,34in Ultrawide Monitor,1,379.99,03/10/19 00:01,CA,San Diego,92029
162012,AA Batteries (4-pack),1,3.84,03/20/19 21:33,PA,Philadelphia,19132
162013,34in Ultrawide Monitor,1,379.99,03/15/19 23:05,FL,Orlando,32822
162014,USB-C Charging Cable,1,11.95,03/01/19 21:33,GA,Atlanta,30318
162015,AA Batteries (4-pack),1,3.84,03/02/19 08:52,CA,Los Angeles,90001
162016,AAA Batteries (4-pack),5,2.99,03/19/19 21:10,CA,San Diego,92029
162017,Lightning Charging Cable,1,14.95,03/02/19 13:55,FL,Miami,33125
162018,USB-C Charging Cable,2,11.95,03/18/19 11:07,NY,Buffalo,14205
162019,AAA Batteries (4-pack),1,2.99,03/05/19 12:20,FL,Miami,33137
162020,LG Washing Machine,1,600.0,03/26/19 18:17,CA,Los Angeles,90008
162021,Wired Headphones,1,11.99,03/30/19 12:02,FL,Miami,33137
162022,AA Batteries (4-pack),1,3.84,03/17/19 22:18,GA,Atlanta,30339
162023,Apple Airpods Headphones,1,150,03/11/19 20:00,FL,Orlando,32822
162024,27in 4K Gaming Monitor,1,389.99,03/17/19 09:22,FL,Miami,33137
162025,AAA Batteries (4-pack),1,2.99,03/07/19 20:50,IL,Chicago,60607
162026,iPhone,1,700,03/22/19 22:31,TX,Houston,77002
162027,AAA Batteries (4-pack),1,2.99,03/16/19 20:52,NY,Buffalo,14201
162028,AAA Batteries (4-pack),3,2.99,03/20/19 15:23,TX,Austin,78745
162029,AAA Batteries (4-pack),1,2.99,03/26/19 12:17,TX,Dallas,75201
162030,Google Phone,1,600,03/09/19 16:50,TX,Houston,77019
162031,Lightning Charging Cable,1,14.95,03/28/19 17:03,PA,Philadelphia,19102
162032,Lightning Charging Cable,1,14.95,03/31/19 10:39,FL,Orlando,32807
162033,iPhone,1,700,03/19/19 11:06,WA,Seattle,98101
162034,USB-C Charging Cable,1,11.95,03/26/19 20:34,MI,Detroit,48207
162035,Macbook Pro Laptop,1,1700,03/08/19 13:07,GA,Atlanta,30318
162036,Lightning Charging Cable,1,14.95,03/09/19 19:39,NY,Buffalo,14205
162037,iPhone,1,700,03/23/19 02:11,PA,Philadelphia,19132
162037,Lightning Charging Cable,1,14.95,03/23/19 02:11,TX,Dallas,75201
162038,AAA Batteries (4-pack),2,2.99,03/18/19 20:31,CA,Los Angeles,90008
162039,AA Batteries (4-pack),1,3.84,03/29/19 12:01,TX,Austin,78701
162040,USB-C Charging Cable,1,11.95,03/25/19 09:11,GA,Atlanta,30303
162041,Apple Airpods Headphones,1,150,03/14/19 01:01,CA,San Diego,91911
162042,USB-C Charging Cable,1,11.95,03/09/19 22:39,NY,Buffalo,14211
162043,AA Batteries (4-pack),1,3.84,03/29/19 10:59,WA,Seattle,98101
162044,27in FHD Monitor,1,149.99,03/22/19 10:11,IL,Chicago,60629
162045,Apple Airpods Headphones,1,150,03/26/19 13:31,TX,Austin,78701
162046,AAA Batteries (4-pack),2,2.99,03/20/19 20:33,NY,Buffalo,14205
162047,Bose SoundSport Headphones,1,99.99,03/08/19 18:41,MI,Detroit,48215
162048,AA Batteries (4-pack),1,3.84,03/31/19 19:24,TX,Houston,77019
162049,Lightning Charging Cable,1,14.95,03/25/19 13:35,TX,Houston,77002
162050,AAA Batteries (4-pack),1,2.99,03/26/19 17:09,OH,Columbus,43224
162051,AAA Batteries (4-pack),1,2.99,03/12/19 09:12,OR,Portland,97223
162052,Wired Headphones,1,11.99,03/11/19 09:44,NY,Buffalo,14205
162053,iPhone,1,700,03/10/19 18:29,CA,San Francisco,94118
162054,Wired Headphones,1,11.99,03/20/19 00:42,TX,Austin,78701
162055,AA Batteries (4-pack),1,3.84,03/29/19 09:21,TX,Houston,77002
162056,Wired Headphones,1,11.99,03/17/19 10:24,FL,Orlando,32807
162057,Wired Headphones,1,11.99,03/30/19 18:44,IL,Chicago,60629
